,Área,Vaga,Nível,Contrato,Salário Base,Salário Máximo
0,Full-stack,Desenvolvedor(a) Full-stack PHP pleno,Junior - Pleno(2 a 4 anos de experiência),,,
1,Data Science,Engenheiro(a) de Dados Python,Pleno - Senior(4 a 6 anos de experiência),CLT," 11.100,00 "," 13.000,00"
2,Back-end,Desenvolvedor(a) C# pleno,Junior - Pleno(2 a 4 anos de experiência),,,
3,Data Science,Programador (a) de Dados Júnior / Pleno,Junior - Pleno(2 a 4 anos de experiência),CLT," 3.000,00 "," 5.000,00"
4,Front-end,Desenvolvedor(a) Front-end React (remoto),Pleno - Senior(4 a 6 anos de experiência),CLT," 9.700,00 "," 11.700,00"
5,Back-end,Desenvolvedor(a) Back-end Java (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 13.000,00 "," 15.000,00"
6,Full-stack,Desenvolvedor(a) PHP DMAT_11,Junior - Pleno(2 a 4 anos de experiência),CLT," 4.700,00 "," 6.700,00"
7,Front-end,Desenvolvedor(a) Angular,Junior - Pleno(2 a 4 anos de experiência),,,
8,Front-end,Desenvolvedor(a) Front-end HTML5 (remoto),Junior - Pleno(2 a 4 anos de experiência),PJ," 3.000,00 "," 5.000,00"
9,Back-end,Desenvolvedor(a) Back-end PHP,Pleno - Senior(4 a 6 anos de experiência),CLT," 12.500,00 "," 14.500,00"
10,Front-end,Tech Lead,Junior - Pleno(2 a 4 anos de experiência),CLT," 9.500,00 "," 10.000,00"
11,Front-end,Desenvolvedor(a) Front-end Angular pleno (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 7.000,00 "," 9.000,00"
12,Data Science,Cientista de Dados pleno R (remoto),Pleno - Senior(4 a 6 anos de experiência),PJ," 5.500,00 "," 7.400,00"
13,Back-end,Desenvolvedor(a) sênior Back-end Java (remoto),Senior(Mais de 6 anos de experiência),,,
14,Full-stack,Desenvolvedor(a) Full-stack pleno,Junior - Pleno(2 a 4 anos de experiência),,,
15,Back-end,Desenvolvedor(a) Node.js júnior,Junior(0 a 2 anos de experiência),,,
16,Back-end,Tech Lead - C#,Pleno - Senior(4 a 6 anos de experiência),,,
17,Full-stack,Desenvolvedor(a) Full-stack WordPress júnior (remoto),Junior(0 a 2 anos de experiência),PJ," 2.000,00 "," 4.000,00"
18,Back-end,Desenvolvedor(a) Back-end pleno .NET BJF_18238,Junior - Pleno(2 a 4 anos de experiência),,,
19,Back-end,Desenvolvedor(a) Node.js pleno,Junior - Pleno(2 a 4 anos de experiência),,,
20,Mobile,Desenvolvedor(a) Mobile iOS,Junior - Pleno(2 a 4 anos de experiência),,,
21,Mobile,Desenvolvedor(a) Mobile Flutter pleno (remoto),Junior - Pleno(2 a 4 anos de experiência),,,
